version,m,k,n,time,gflops
1,32,32,32,0.028,2.34057
1,32,32,32,0.026,2.52062
1,32,64,32,0.022,5.95782
1,32,128,32,0.023,11.3976
1,32,156,32,0.024,13.312
1,64,64,64,0.05,10.4858
1,64,32,64,0.048,5.46133
1,64,64,64,0.048,10.9227
1,64,128,64,0.041,25.575
1,64,156,64,0.042,30.4274
1,100,100,100,0.082,24.3902
1,100,32,100,0.081,7.90123
1,100,64,100,0.081,15.8025
1,100,128,100,0.072,35.5556
1,100,156,100,0.073,42.7397
1,128,128,128,0.106,39.5689
1,128,32,128,0.104,10.0825
1,128,64,128,0.104,20.1649
1,128,128,128,0.105,39.9458
1,128,156,128,0.094,54.3809
1,256,256,256,0.424,79.1378
1,256,32,256,0.376,11.1551
1,256,64,256,0.397,21.13
1,256,128,256,0.414,40.5247
1,256,156,256,0.417,49.0341
1,512,512,512,1.658,161.903
1,512,32,512,1.215,13.8084
1,512,64,512,1.25,26.8435
1,512,128,512,1.262,53.1766
1,512,156,512,1.272,64.2995
1,1000,1000,1000,10.927,183.033
1,1000,32,1000,4.531,14.1249
1,1000,64,1000,4.582,27.9354
1,1000,128,1000,4.567,56.0543
1,1000,156,1000,4.625,67.4595
1,1024,1024,1024,12.029,178.526
1,1024,32,1024,4.699,14.2815
1,1024,64,1024,4.722,28.4239
1,1024,128,1024,4.802,55.9008
1,1024,156,1024,4.77,68.5861
1,2048,2048,2048,73.01,235.308
1,2048,32,2048,17.163,15.6404
1,2048,64,2048,17.424,30.8122
1,2048,128,2048,17.984,59.7054
1,2048,156,2048,18.353,71.3029
1,4096,4096,4096,524.656,261.96
1,8192,8192,8192,10383.1,105.894
1,10032,10032,10032,19555.8,103.256
2,32,32,32,0.029,2.09567
2,32,32,32,0.028,2.29215
2,32,64,32,0.028,4.58644
2,32,128,32,0.03,8.71762
2,32,156,32,0.03,10.4478
2,64,64,64,0.048,10.1362
2,64,32,64,0.047,5.48552
2,64,64,64,0.048,10.9246
2,64,128,64,0.048,21.41
2,64,156,64,0.047,26.5428
2,100,100,100,0.128,15.6996
2,100,32,100,0.117,5.47024
2,100,64,100,0.119,10.7928
2,100,128,100,0.127,20.1575
2,100,156,100,0.127,24.414
2,128,128,128,0.165,25.3292
2,128,32,128,0.15,6.99989
2,128,64,128,0.163,12.866
2,128,128,128,0.166,25.4204
2,128,156,128,0.166,30.8313
2,256,256,256,0.505,66.5238
2,256,32,256,0.487,8.61253
2,256,64,256,0.493,17.0432
2,256,128,256,0.493,33.962
2,256,156,256,0.496,41.1579
2,512,512,512,2.432,110.231
2,512,32,512,1.92,8.73633
2,512,64,512,1.923,17.4472
2,512,128,512,1.935,34.6673
2,512,156,512,1.939,42.1636
2,1000,1000,1000,17.362,115.207
2,1000,32,1000,6.602,9.68905
2,1000,64,1000,6.663,19.2077
2,1000,128,1000,6.772,37.7949
2,1000,156,1000,6.792,45.9296
2,1024,1024,1024,17.971,119.51
2,1024,32,1024,6.95,9.6554
2,1024,64,1024,6.961,19.2875
2,1024,128,1024,6.992,38.3296
2,1024,156,1024,7.016,46.6233
2,2048,2048,2048,123.23,139.349
2,2048,32,2048,26.895,9.98065
2,2048,64,2048,26.916,19.9497
2,2048,128,2048,27.069,39.6768
2,2048,156,2048,27.164,48.1838
2,4096,4096,4096,886.749,154.989
2,4096,32,4096,105.126,10.2153
2,4096,64,4096,105.252,20.4061
2,4096,128,4096,105.855,40.5771
2,4096,156,4096,114.797,45.5958
2,8192,8192,8192,6786.29,161.971
2,8192,32,8192,448.978,9.5669
2,8192,64,8192,510.042,16.8467
2,8192,128,8192,510.849,33.6324
2,8192,156,8192,509.622,41.0813
2,10032,10032,10032,12576.4,160.651
2,10032,32,10032,754.578,8.53586
2,10032,64,10032,762.243,16.9001
2,10032,128,10032,763.105,33.7588
2,10032,156,10032,761.609,41.2239
3,32,32,32,0.024,2.05462
3,32,32,32,0.028,2.35216
3,32,64,32,0.026,4.7698
3,32,128,32,0.024,10.4992
3,32,156,32,32.911,9.60179
3,64,64,64,0.043,11.6464
3,64,32,64,0.042,6.21391
3,64,64,64,0.051,11.9844
3,64,128,64,0.042,24.4158
3,64,156,64,0.039,31.3482
3,100,100,100,0.101,20.1823
3,100,32,100,0.096,6.65292
3,100,64,100,0.098,12.9562
3,100,128,100,0.099,25.6548
3,100,156,100,0.1,31.0764
3,128,128,128,0.128,32.6664
3,128,32,128,0.124,8.51126
3,128,64,128,0.127,16.513
3,128,128,128,0.128,32.6664
3,128,156,128,0.129,39.5045
3,256,256,256,0.402,83.0992
3,256,32,256,0.378,11.0961
3,256,64,256,0.379,22.0639
3,256,128,256,0.382,43.7371
3,256,156,256,0.388,52.8901
3,512,512,512,1.731,155.129
3,512,32,512,1.481,11.3207
3,512,64,512,1.485,22.6017
3,512,128,512,1.497,44.8229
3,512,156,512,1.509,54.1864
3,1000,1000,1000,8.806,227.817
3,1000,32,1000,5.049,12.6693
3,1000,64,1000,5.08,25.2088
3,1000,128,1000,5.15,49.6875
3,1000,156,1000,5.187,53.9498
3,1024,1024,1024,9.052,237.265
3,1024,32,1024,5.243,12.8007
3,1024,64,1024,5.261,25.5118
3,1024,128,1024,5.324,50.4958
3,1024,156,1024,5.346,61.089
3,2048,2048,2048,53.29,322.233
3,2048,32,2048,20.457,13.1182
3,2048,64,2048,20.512,26.175
3,2048,128,2048,20.732,43.9945
3,2048,156,2048,20.884,62.6849
3,4096,4096,4096,336.795,407.821
3,4096,32,4096,79.783,13.4585
3,4096,64,4096,79.958,26.8523
3,4096,128,4096,80.733,53.1921
3,4096,156,4096,84.915,61.6429
3,8192,8192,8192,2416.44,452.152
3,8192,32,8192,327.369,13.1195
3,8192,64,8192,345.299,24.879
3,8192,128,8192,350.543,49.0063
3,8192,156,8192,347.727,60.1955
3,10032,10032,10032,4633.99,435.961
3,10032,32,10032,504.578,12.7651
3,10032,64,10032,896.093,22.9747
3,10032,128,10032,519.751,49.564
3,10032,156,10032,520.505,60.2785
4,32,32,32,0.023,2.84939
4,32,32,32,0.022,2.97891
4,32,64,32,0.021,6.24152
4,32,128,32,0.024,10.9227
4,32,156,32,0.023,13.8908
4,64,64,64,0.04,13.1072
4,64,32,64,0.039,6.72164
4,64,64,64,0.039,13.4433
4,64,128,64,0.041,25.575
4,64,156,64,0.04,31.9488
4,100,100,100,0.1,20
4,100,32,100,0.096,6.66667
4,100,64,100,0.098,13.0612
4,100,128,100,0.1,25.6
4,100,156,100,0.101,30.8911
4,128,128,128,0.13,32.2639
4,128,32,128,0.124,8.45626
4,128,64,128,0.129,16.257
4,128,128,128,0.13,32.2639
4,128,156,128,0.131,39.0214
4,256,256,256,0.406,82.6464
4,256,32,256,0.383,10.9512
4,256,64,256,0.385,21.7886
4,256,128,256,0.389,43.1291
4,256,156,256,0.391,52.2947
4,512,512,512,1.745,153.831
4,512,32,512,1.495,11.2222
4,512,64,512,1.498,22.3995
4,512,128,512,1.514,44.3255
4,512,156,512,1.525,53.6321
4,1000,1000,1000,8.808,227.066
4,1000,32,1000,5.064,12.6382
4,1000,64,1000,5.095,25.1227
4,1000,128,1000,5.151,49.6991
4,1000,156,1000,5.185,60.1736
4,1024,1024,1024,9.045,237.422
4,1024,32,1024,5.228,12.8364
4,1024,64,1024,5.247,25.5799
4,1024,128,1024,5.305,50.6005
4,1024,156,1024,5.343,61.2307
4,2048,2048,2048,53.367,321.919
4,2048,32,2048,20.531,13.0746
4,2048,64,2048,20.585,26.0807
4,2048,128,2048,20.794,51.6371
4,2048,156,2048,20.933,62.5148
4,4096,4096,4096,337.611,407.093
4,4096,32,4096,79.791,13.4569
4,4096,64,4096,79.968,26.8543
4,4096,128,4096,80.767,53.1773
4,4096,156,4096,84.961,61.6105
4,8192,8192,8192,2430.98,452.291
4,8192,32,8192,324.673,13.2286
4,8192,64,8192,342.578,25.0744
4,8192,128,8192,347.807,49.3948
4,8192,156,8192,347.635,60.2297
4,10032,10032,10032,4634.01,435.748
4,10032,32,10032,504.446,12.7685
4,10032,64,10032,512.486,25.1364
4,10032,128,10032,519.814,49.5641
4,10032,156,10032,519.84,60.4032

